,FreeNet_pre_score,FreeNet_post_score,FreeNet_pre_rank,FreeNet_post_rank,FreeNet_delta_ranks,Reversed_pre_score,Reversed_post_score,Reversed_pre_rank,Reversed_post_rank,Reversed_delta_ranks,Random_pre_score,Random_post_score,Random_pre_rank,Random_post_rank,Random_delta_ranks,dist_victim_relayer,dist_victim_vilain_pre,dist_victim_vilain_post,out_deg_victim,in_deg_villain,victim,villain,relayer
41,2,104,357,907,550,13,14,408,422,14,3.4037918240920386e-05,0.00013615167296368154,402,516,114,4,5,5,7,1,505,935,722
42,2,104,362,925,563,6,8,379,417,38,0.0,0.00030634126416828345,1,624,623,4,5,5,4,1,735,924,343
43,4,4,425,425,0,10,10,394,394,0,3.4037918240920386e-05,3.4037918240920386e-05,399,399,0,-1,5,5,6,2,522,680,696
44,12,12,726,726,0,4,4,452,452,0,0.00037441710065012424,0.00037441710065012424,681,681,0,-1,5,5,2,9,782,240,942
45,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,9,0,319,426,936
46,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,4,1,558,789,778
47,43,144,834,952,118,24,24,694,694,0,0.0015317063208414173,0.0015317063208414173,857,857,0,5,4,4,4,14,891,84,676
48,1,207,333,957,624,10,23,333,441,108,0.0,0.0002723033459273631,1,617,616,3,6,4,10,2,293,374,379
49,18,120,647,927,280,58,58,857,857,0,0.000442492937131965,0.000442492937131965,685,685,0,4,3,3,6,3,556,441,419
50,12,114,578,928,350,24,24,661,661,0,0.00037441710065012424,0.0005786446100956465,667,732,65,4,4,4,4,3,753,610,404
51,1,102,332,928,596,2,2,332,332,0,0.0,0.0,1,1,0,5,6,6,2,3,750,181,495
52,0,0,1,1,0,0,0,1,1,0,0.0,0.0,1,1,0,-1,-1,-1,2,0,838,817,820
